cand_id,name,age,party_id,spl_attribute_id
cand320,"KIREN RIJIJU",47,BJP,320
cand321,"NABAM TUKI",51,INC,321
cand322,"SUBU KECHI",45,PPA,322
cand323,"JARJUM ETE",56,JD(S),323
cand324,"JOMIN NYOKIR KARA",38,AIFB,324
cand325,"KHYODA APIK",42,NPEP,325
cand326,"RUMAK JOMOH",32,IND,326
cand327,"Lowangcha Wanglat",69,INC,327
cand328,"Mongol Yomso",47,PPA,328
cand329,"Tapir Gao",54,BJP,329
cand330,"Bandey Mili",38,JD(S),330
cand331,"C. C. Singpho",68,IND,331
cand332,"KRIPANATH MALLAH",46,BJP,332
cand333,"CHANDAN DAS",27,AITC,333
cand334,"RADHESHYAM BISWAS",66,AIUDF,334
cand335,"SWARUP DAS",37,INC,335
cand336,"AJOY KUMAR SARKAR",64,AIFB,336
cand337,"NIKHIL RANJAN DAS",50,HND,337
cand338,"PROBASH CHANDRA SARKAR",47,SUCI(C),338
cand339,"ANUPAM SINGHA",34,IND,339
cand340,"PARIKSHIT ROY",48,IND,340
cand341,"RABINDRA CHANDRA DAS",52,IND,341
cand342,"RAJU DAS",43,IND,342
cand343,"RAMNARAYAN SUKLABAIDYA",59,IND,343
cand344,"SATYAJIT DAS",35,IND,344
cand345,"HARILAL RABIDAS",43,IND,345
cand346,"RAJDEEP ROY",48,BJP,346
cand347,"SUSHMITA DEV",46,INC,347
cand348,"HITABRATA ROY",75,AITC,348
cand349,"NAZIA YASMIN MAZUMDAR",38,NPEP,349
cand350,"Badrul Islam Barbhuiya",44,AIFB,350
cand351,"Shyam Deo Kurmi",66,SUCI(C),351
cand352,"Ashitava Dutta",44,IND,352
cand353,"Ashutosh Bhattacharjee",42,IND,353
cand354,"Nazmul Haque Laskar",48,IND,354
cand355,"Puran Lal Goala",29,IND,355
cand356,"Mohendra Chandra Das",44,IND,356
cand357,"Shuvadip Datta",52,IND,357
cand358,"Sabindra Das",38,IND,358
cand359,"BIREN SINGH ENGTI",76,INC,359
cand360,"HOREN SING BEY",49,BJP,360
cand361,LIENKHOCHON,39,NPEP,361
cand362,"HOLIRAM TERANG",61,ASDC,362
cand363,"JONES INGTI KATHAR",68,IND,363
cand364,"ABU TAHER BEPARI",52,INC,364
