name,party_name,state,constituency
INDER SINGH,Bahujan Samaj Party,Haryana,KARNAL
MANOJ KUMAR BEDIA,Independent,Jharkhand,Hazaribagh
AKASH VYAS,Bhartiya Shakti Chetna Party,Haryana,GURGAON
ABHISHEK KUMAR,Independent,Jharkhand,Hazaribagh
ABHISHEK KUMAR,Independent,Jharkhand,Hazaribagh
PRAKASH SONI,Bhartiya Azad Sena,Jharkhand,Hazaribagh
NEPAL CHANDRA MAHATO,Indian National Congress,West Bengal,Purulia
SUNAINA KINNAR,Independent,Jharkhand,Dhanbad
GAURAV VERMA,Hindu Samaj Party,Uttar Pradesh,Lucknow
VIJAYLAKSHMI DEVI,Janata Dal  (United),Bihar,Siwan
AKSHAT GAIT,Independent,Haryana,GURGAON
SUNIL KUMAR,Independent,Haryana,FARIDABAD
PRAVEEN PATEL,Bharatiya Janata Party,Uttar Pradesh,Phulpur
SHRAWAN KUMAR TRIPATHI,Independent,Uttar Pradesh,Pratapgarh
FULACHANDR,Moulik Adhikar Party,Uttar Pradesh,Jaunpur
DHARAMBIR SINGH,Bharatiya Janata Party,Haryana,BHIWANI-MAHENDRAGARH
SUNIL TEWATIA,Indian National Lok Dal,Haryana,FARIDABAD
DR SHIV SHANKAR INDIAN,Most Backward Classes Of India,Uttar Pradesh,Sultanpur
RITU KAUSHIK,Socialist Unity Centre Of India (COMMUNIST),NCT OF Delhi,Chandni Chowk
NAUSHAD AZAM,Peace Party,Uttar Pradesh,Domariyaganj
MANISH,Independent,Haryana,KARNAL
SUNIL KUMAR,Janata Dal  (United),Bihar,Valmiki Nagar
DR RAJESH KUMAR,Vikassheel Insaan Party,Bihar,Purvi Champaran
RAJ NARAYAN YADAV,Independent,Bihar,Vaishali
ISHWAR SINGH SUTHANI,Peoples Party of India (Democratic),Haryana,GURGAON
PYUSH NARULA,Independent,NCT OF Delhi,Chandni Chowk
SURESH MOHAPATRA,Indian National Congress,Odisha,Cuttack
DEV GIRI,Rashtriya Lokswaraj Party,Haryana,HISAR
DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,Jharkhand,Ranchi
ROOP SINGH,Rashtriya Garib Dal,Haryana,KARNAL
JAGANNATH PAL,Bahujan Samaj Party,Uttar Pradesh,Phulpur
SUJEET KUMAR,Independent,Uttar Pradesh,Shrawasti
ARSHAD AYUB,Independent,Jharkhand,Ranchi
JAI PARKASH SHARMA,Independent,Haryana,KURUKSHETRA
NARESH KUMAR,Independent,NCT OF Delhi,North-West Delhi
ISHTIYAQ ALI,Independent,Uttar Pradesh,Lucknow
MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,Bihar,Siwan
AJIT PRASAD MAHATA,Independent,West Bengal,Purulia
AJIT PRASAD MAHATA,Independent,West Bengal,Purulia
ABHAY SINGH CHAUTALA,Indian National Lok Dal,Haryana,KURUKSHETRA
ARUNIMA GAUTAM,Independent,NCT OF Delhi,East Delhi
LUKMAN KHAN,Log Party,NCT OF Delhi,New Delhi
KAPIL MARWAH,Independent,NCT OF Delhi,West Delhi
SOBHA PANDEY,Independent,Odisha,Cuttack
SHRAWAN KUMAR TRIPATHI,Independent,Uttar Pradesh,Pratapgarh
SAMAY SINGH,Independent,Haryana,GURGAON
DR. ALOK KUMAR SUMAN,Janata Dal  (United),Bihar,Gopalganj
MAHENDER PRATAP SINGH,Indian National Congress,Haryana,FARIDABAD
JAI KUMAR  SAINI HAMIDPUR,Independent,Haryana,KURUKSHETRA
SAMPOORN ANAND,Rashtriya Lokswaraj Party,Haryana,GURGAON
ANIL KUMAR TIWARI,Independent,Uttar Pradesh,Shrawasti
KRIPASHANKAR C PANDEY,Independent,Uttar Pradesh,Jaunpur
PATASHO DEVI EX-SARPANCH,Independent,Haryana,KURUKSHETRA
ANOOP SINGH,Indian National Lok Dal,Haryana,SONIPAT
GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party,Haryana,FARIDABAD
VIJAY KHATANA,Bahujan Samaj Party,Haryana,GURGAON
KIRAN PUNIA,Jannayak Janta Party,Haryana,AMBALA
NIKESH KUMAR,Independent,Bihar,Purvi Champaran
SUSHIL,All India Forward Bloc,Uttar Pradesh,Bhadohi
SHIV PRASAD VISHWAKARMA,Samyak Party,Uttar Pradesh,Allahabad
COMRADE RAMESH KHATKAR,Independent,Haryana,KURUKSHETRA
COMRADE RAMESH KHATKAR,Independent,Haryana,KURUKSHETRA
JANARDAN NAIK,Independent,Odisha,Dhenkanal
SANGEETA YADAV,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),Uttar Pradesh,Phulpur
RAM KUMAR MANJHI,Gana Suraksha Party,Bihar,Gopalganj
JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,West Bengal,Purulia
DEEPENDER SINGH HOODA,Indian National Congress,Haryana,ROHTAK
DEVENDRA NATH MAHTO,Independent,Jharkhand,Ranchi
DEVENDRA NATH MAHTO,Independent,Jharkhand,Ranchi
DR. NITESH CHOPRA (HONEY),Bhartiya Shakti Chetna Party,Haryana,AMBALA
DEVENDRA NATH MAHTO,Independent,Jharkhand,Ranchi
DEVENDRA NATH MAHTO,Independent,Jharkhand,Ranchi
OM SHANKAR,Independent,NCT OF Delhi,East Delhi
RADHEY SHYAM,Peoples Party of India (Democratic),Haryana,SONIPAT
PRAKASH CHANDRA SAHOO,Krupaa Party,Odisha,Cuttack
SATNAM BHAZIGAR,Loktantrik Lok Rajyam Party,Haryana,KURUKSHETRA
BIHARI LAL JALANDHARI,India Greens Party,NCT OF Delhi,South Delhi
PRAVESH KUMAR MISHRA @ ANUP,Independent,Bihar,Valmiki Nagar
PRAVESH KUMAR MISHRA @ ANUP,Independent,Bihar,Valmiki Nagar
SUNIL KUMAR SHARMA,Bahujan Samaj Party,Haryana,BHIWANI-MAHENDRAGARH
DEEPAK MEHRA,Bahujan Samaj Party,Haryana,KURUKSHETRA
MUSHIR AHMAD SIDDIQUI,Peoples Party of India (Democratic),Uttar Pradesh,Phulpur
SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,Bihar,Siwan
DEBAPRASAD JANA,Independent,West Bengal,Tamluk
HARSH MALHOTRA,Bharatiya Janata Party,NCT OF Delhi,East Delhi
NIRANJAN PATI,Independent,Odisha,Cuttack
RAVINDER SINGH,Independent,NCT OF Delhi,New Delhi
ASHWANI,Independent,Haryana,SONIPAT
DINESH KUMAR,Peoples Party of India (Democratic),NCT OF Delhi,New Delhi
SURINDER KUMAR,Bharatheeya Jawan Kisan Party,NCT OF Delhi,South Delhi
GOUR CHANDRA HEMBRAM,Independent,West Bengal,Bankura
KISHAN THAKUR,Bahujan Samaj Party,Haryana,FARIDABAD
LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,Uttar Pradesh,Phulpur
DHANANJAY,Independent,Uttar Pradesh,Pratapgarh
G JAYRAM DAS,Independent,Jharkhand,Jamshedpur
MADAN MOHAN TIWARI,Indian National Congress,Bihar,Paschim Champaran
SANJEEV KUMAR MISHRA,Yuva Vikas Party,Uttar Pradesh,Phulpur
G JAYRAM DAS,Independent,Jharkhand,Jamshedpur
VIJAY BAUDDH,Bahujan Samaj Party,NCT OF Delhi,North-West Delhi
MOHIUDDIN AHMED MAHI,All India Secular Front,West Bengal,Tamluk
PREM PRAKASH PASWAN,Independent,Jharkhand,Dhanbad
ARUN KUMAR,Independent,NCT OF Delhi,South Delhi
PRAKASH MANI TIWARI,Independent,Bihar,Siwan
GYAN SAGAR PRASAD,Independent,Jharkhand,Jamshedpur
GOPAL MURMU,Ambedkarite Party of India,West Bengal,Bankura
INDRA DEO PRASAD,Independent,Jharkhand,Jamshedpur
INDRA DEO PRASAD,Independent,Jharkhand,Jamshedpur
RAM KRISHNA DWIVEDI,Independent,Uttar Pradesh,Sant Kabir Nagar
RAJ NARAYAN PATEL,Sardar Patel Siddhant Party,Uttar Pradesh,Bhadohi
SUBHASH,Rashtrawadi Janlok Party (Satya),Haryana,BHIWANI-MAHENDRAGARH
RAM KRISHNA DWIVEDI,Independent,Uttar Pradesh,Sant Kabir Nagar
AMIT KUMAR SINGH,Rashtriya Suraksha Party,NCT OF Delhi,West Delhi
JAI PRAKASH AGARWAL,Indian National Congress,NCT OF Delhi,Chandni Chowk
ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,West Bengal,Tamluk
SHAIKH AKHIRUDDIN,Bahujan Maha Party,Jharkhand,Jamshedpur
SURYANEEL DAS,Independent,West Bengal,Tamluk
RAM KARAN GAUTAM,Independent,Uttar Pradesh,Basti
SANAKA MAHATO,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Jamshedpur
NISHA PATEL,Sardar Patel Siddhant Party,Uttar Pradesh,Jaunpur
PRATHMESH MISHRA 'SENANI',Bahujan Samaj Party,Uttar Pradesh,Pratapgarh
DEEPAK M. CHAUGULE,Bahujan Republican  Socialist Party,Maharashtra,Mumbai South Central
SURESH CHANDRA GAUTAM,Bahujan Samaj Party,Uttar Pradesh,Jalaun
SOPAN NIVRUTTI SOMWANSHI,Independent,Maharashtra,Nashik
KISHORI LAL,Indian National Congress,Uttar Pradesh,Amethi
SURAJ KUMAR,Bahujan Mukti Party,Haryana,AMBALA
DHOMSE MALATI RAHUL,Vanchit Bahujan  Aaghadi,Maharashtra,Dindori
ADVOCATE KAPIL K. SONI,Independent,Maharashtra,Mumbai North
SUBODH KUMAR YADAV,Independent,Jharkhand,Giridih
SANTRUPT MISRA,Biju Janata Dal,Odisha,Cuttack
BABULAL,Log Party,Uttar Pradesh,Banda
SANJAY MANOHAR MORE,Independent,Maharashtra,Thane
RAIS DOCTOR,Bahujan Samaj Party,Maharashtra,Mumbai North
BHARAT SAMJI VANGA,Bahujan Samaj Party,Maharashtra,Palghar
PRASHANT RAMESH INGLE,Bahujan Samaj Party,Maharashtra,Kalyan
PRANITA MANDAL,Independent,West Bengal,Bangaon
CHANDER MOHAN,Independent,Haryana,HISAR
SHAFEEQUE AHEMAD MD. RAFEEQUE,Independent,Maharashtra,Dhule
SHAFI MOHAMMAD MIYA,Aazad Samaj Party (Kanshi Ram),Bihar,Valmiki Nagar
RAHUL GANDHI,Indian National Congress,Uttar Pradesh,Rae Bareli
GULAB MOHAN BARDE,Prabuddha Republican Party,Maharashtra,Dindori
HAYATULAH ABDULAH SHAIKH,Akhil Bharatiya Muslim League (Secular),Maharashtra,Mumbai North Central
HARSHAD RAMESH MHATRE,Independent,Maharashtra,Bhiwandi
BASUDEB SIKARI,Independent,West Bengal,Bishnupur
SABINA KHATOON,Indian National League,Bihar,Muzaffarpur
SHAFEEQUE AHEMAD MD. RAFEEQUE,Independent,Maharashtra,Dhule
JAY CHANDRA KUMAR,Vishwa Kalyan Rashtriya Manav Samaj Party,Uttar Pradesh,Fatehpur
MUKESH KAILASNATH TIWARI,Bhim Sena,Maharashtra,Thane
SANJAY KUMAR,Viro Ke Vir Indian Party,Bihar,Paschim Champaran
SHRIDHAR NARAYAN SALVE,Bhim Sena,Maharashtra,Kalyan
SALIMUDDIN KHALILUDDIN SHAIKH,Independent,Maharashtra,Kalyan
DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,West Bengal,Ghatal
TAPAS BARUI,Independent,West Bengal,Howrah
SMRITI IRANI,Bharatiya Janata Party,Uttar Pradesh,Amethi
VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,Maharashtra,Mumbai South Central
SAMIM ALI MOLLICK,Independent,West Bengal,Hooghly
PREM KUMAR,Moulik Adhikar Party,Uttar Pradesh,Basti
SAWALE DATTATRAY SITARAM,Independent,Maharashtra,Thane
GURUDAS RAMDAS KHAIRNAR,Independent,Maharashtra,Mumbai North
SHUBH NARAYAN,Bahujan Samaj Party,Uttar Pradesh,Kaushambi
MUSHTAQUE HAIDER SHAIKH,Independent,Maharashtra,Mumbai North Central
MANOJ GUPTA,Lokhit Adhikar Party,Jharkhand,Jamshedpur
MATEEN AHMED RANGREJ,Independent,Maharashtra,Mumbai South
NARESH CHANDRA UTTAM PATEL,Samajwadi Party,Uttar Pradesh,Fatehpur
ARUN MADHUKAR KALE,Bahujan Samaj Party,Maharashtra,Nashik
SUSHIL CHOUDHARY,Aapki Apni Party (Peoples),NCT OF Delhi,North-East Delhi
AMIT KUMAR SINGH,Independent,Jharkhand,Chatra
DIPTI ASHOK WALAWALKAR,Independent,Maharashtra,Mumbai North
BIPLAB BHATTA,Communist Party of India,West Bengal,Medinipur
ARVIND SEN,Communist Party of India,Uttar Pradesh,Faizabad
HARI SHANKER RAJVANS,Adim Bhartiya Dal,Haryana,FARIDABAD
NATABAR MAHARANA,Bharatiya Bikash Parishad,Odisha,Bhubaneswar
SHIWA MALLICK,Independent,West Bengal,Howrah
NALIN HOODA,Jannayak Janta Party,Haryana,FARIDABAD
GNYANENDRA BEHERA,Independent,Odisha,Bargarh
KARAN PANDHARINATH GAIKAR,Vanchit Bahujan  Aaghadi,Maharashtra,Nashik
SANJAY MAFATLAL MORAKHIA,Independent,Maharashtra,Mumbai North
RAMVIR SINGH BIDHURI,Bharatiya Janata Party,NCT OF Delhi,South Delhi
MOHAMMAD ANZARUL HASAN,All India Majlis-E-Ittehadul Muslimeen,Bihar,Muzaffarpur
MUNNALAL GAJRAJ PRAJAPATI,Independent,Maharashtra,Mumbai North
KALIPADA SAREN (KHERWAL),All India Trinamool Congress,West Bengal,Jhargram
KARAM HUSSAIN KITABULLAH KHAN,Peace Party,Maharashtra,Mumbai South Central
SALIMA MUKTAR VASANI,Bahujan Maha Party,Maharashtra,Thane
SAIFAN CHAND PATHAN,Bhartiya Manavta Party,Maharashtra,Bhiwandi
MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,Bihar,Madhubani
SK KAMALUDDIN,Independent,West Bengal,Hooghly
RAM PYARE SHARAN VIJAITA,Independent,Uttar Pradesh,Lalganj
URBASI BANERJEE,Indian National Congress,West Bengal,Kanthi
YOGENDER CHANDOLIYA,Bharatiya Janata Party,NCT OF Delhi,North-West Delhi
KISHOR AMBADAS DAGALE,Ambedkarite Party of India,Maharashtra,Dindori
DIPA BOURI,Bahujan Samaj Party,West Bengal,Bankura
VIMAL KUMAR SAXENA,Independent,NCT OF Delhi,East Delhi
PUSHPENDRA KUMAR SAROJ,Independent,Uttar Pradesh,Kaushambi
SAEED CHOUDHARY,Social Democratic Party Of India,Maharashtra,Mumbai South Central
RAJAN BABURAO VICHARE,ShivSena (Uddhav Balasaheb Thackeray),Maharashtra,Thane
JITENDRA KUMAR MAURYA,Independent,Uttar Pradesh,Fatehpur
DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,Maharashtra,Palghar
NILIMA KUMARI,Independent,Bihar,Muzaffarpur
ALIEK SUNDER MESHRAM,Bharatiya Mulnivasi Aazad Party,Maharashtra,Mumbai North
NAMDEO ROHIDAS YELAVE,Bharatheeya Jawan Kisan Party,Maharashtra,Dhule
SAYAN BANERJEE,Communist Party of India  (Marxist),West Bengal,Tamluk
POONAM JAGANNATH BAISANE,Bahujan Republican  Socialist Party,Maharashtra,Kalyan
BHAGAT RAM,Samajwadi Party,Uttar Pradesh,Kaiserganj
KALYAN SAMANTA,Independent,West Bengal,Srerampur
LAXMAN YELLPPA KURADE,Independent,Maharashtra,Mumbai North
RAKESH KUMAR,Haryana Jansena Party,Haryana,AMBALA
MOHAMMAD AAMEEN MOHAMMAD FARUQUE,Independent,Maharashtra,Dhule
AAPPA - VISHAL VIJAY MORE,Independent,Maharashtra,Bhiwandi
MO AHMAD URF RINKU,Social Democratic Party Of India,Uttar Pradesh,Lucknow
ADV. GURUDEV NARSINGH SURYAWANSHI,Independent,Maharashtra,Thane
SHIV CHANDRA RAM,Rashtriya Janata Dal,Bihar,Hajipur
RATHIN GANGULY,Independent,West Bengal,Howrah
AGNIMITRA PAUL,Bharatiya Janata Party,West Bengal,Medinipur
BHAGWAT DASS SHASTRI,Independent,West Bengal,Purulia
JAYARAM BAGH,Bahujan Samaj Party,Odisha,Bargarh
IRFAN IBRAHIM SHAIKH,Independent,Maharashtra,Thane
OMKAR,Independent,Uttar Pradesh,Barabanki
MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front,Jammu and Kashmir,BARAMULLA
JAGTAP DIPAK GANPAT,Independent,Maharashtra,Dindori
BIDESH BASU MAITY,Independent,West Bengal,Kanthi
MOHMAD HANEEFA,Independent,Ladakh,Ladakh
DR. ARVIND KUMAR SHARM,Bharatiya Janata Party,Haryana,ROHTAK
RAJ CHAVAN,Independent,Maharashtra,Dhule
RAMA ARUN SABLE,Independent,Maharashtra,Mumbai North Central
ABINASH SAMAL,Biju Janata Dal,Odisha,Dhenkanal
GORISH ROY,Independent,West Bengal,Purulia
RAMESHWAR DUSADH,Independent,Jharkhand,Giridih
BRIJESH KUMAR VIKRAM,Rashtriya Samaj Paksha,Uttar Pradesh,Mohanlalganj
LAW KUMAR PANDIT,Bhagidari Party(P),Jharkhand,Chatra
KULDEEP KUSHWAHA,Independent,Uttar Pradesh,Fatehpur
KARTIK CHANDRA BAURI,Independent,West Bengal,Bankura
SUSHAMA ABHIJIT GORANE,Independent,Maharashtra,Nashik
PIJUSH KANTI RAJAK,Independent,West Bengal,Purulia
MANOJ KUMAR GUPTA (SWARAJI),Independent,NCT OF Delhi,East Delhi
RAKESH SINGH,Rashtrawadi Janlok Party (Satya),Haryana,ROHTAK
ASIT BARAN MAHATO,Party for Democratic Socialism,West Bengal,Purulia
RAMESHWAR DUSADH,Independent,Jharkhand,Giridih
SANJAY KUMAR MEHTA,Independent,Jharkhand,Hazaribagh
PRIYA SAROJ,Samajwadi Party,Uttar Pradesh,Machhlishahr
NIRDOSH KUMAR DIXIT,Bahujan Samaj Party,Uttar Pradesh,Hamirpur
RAJKUMAR,Independent,Uttar Pradesh,Gonda
AJENDRA SINGH LODHI,Samajwadi Party,Uttar Pradesh,Hamirpur
GAWALI PRAVIN SHIVAJI,Apni Prajahit Party,Maharashtra,Kalyan
MALAY PRAKASH PATIL,Independent,Maharashtra,Dhule
HORILAL,Independent,Uttar Pradesh,Rae Bareli
SABITRI BISHAI,Bahujan Samaj Party,West Bengal,Tamluk
KOLAPPA HANUMANT DHOTRE,Independent,Maharashtra,Nashik
SATYENDRA BAITHA,Independent,Bihar,Gopalganj
KOLAPPA HANUMANT DHOTRE,Independent,Maharashtra,Nashik
SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,Maharashtra,Nashik
DHARMRAJ,Al-Hind Party,Uttar Pradesh,Hamirpur
SHANTARAM S DIGHE,Independent,Maharashtra,Mumbai North Central
SANDIP KUMAR,Jantantra Awaj Party,Bihar,Muzaffarpur
RAVI PRAKASH,Bahujan Samaj Party,Uttar Pradesh,Jhansi
AJAY SHYAM MORYA,Independent,Maharashtra,Kalyan
ABHIJIT MAJI,Independent,West Bengal,Arambagh
SUKESH CHANDRA PALMAL,Independent,West Bengal,Medinipur
JAGBEER,Independent,Haryana,SONIPAT
BRIJ MOHAN,Independent,Uttar Pradesh,Jalaun
INDERJEET KAMBOJ,Peoples Party of India (Democratic),Haryana,KURUKSHETRA
MUHAMAD AVAS,Independent,Bihar,Vaishali
IRFAN. MO. ISHAK (NADIR),Independent,Maharashtra,Dhule
BHIM SINGH,Ambedkarite Party of India,NCT OF Delhi,South Delhi
SEIKH SAKIRUL ISLAM,Independent,West Bengal,Howrah
RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,Maharashtra,Palghar
DEVIKA SIKA,National Apni Party,Odisha,Bargarh
SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,Maharashtra,Nashik
ASHWINI KUMAR PATHAK,Independent,Maharashtra,Mumbai South Central
ADVOCATE SATISH CHANDRA,Ambedkarite Party of India,NCT OF Delhi,North-West Delhi
DHARMENDER THAKRAN,Swayam Shashan Party,Haryana,GURGAON
NITIN GEHLOT,Peoples Party of India (Democratic),Haryana,KARNAL
SAMAR KUMAR BISWAS,Kisan Mazdoor Sangharsh Party,West Bengal,Bankura
JITENDRA KUMAR,Independent,Uttar Pradesh,Mohanlalganj
SURESH SITARAM MHATRE,Independent,Maharashtra,Bhiwandi
SHASHIDHAR,Independent,Uttar Pradesh,Azamgarh
RAGHU MALLIK,Independent,West Bengal,Arambagh
BHARTRUHARI MAHTAB,Bharatiya Janata Party,Odisha,Cuttack
SACHINRAJE DATTATREYA DEORE,Independent,Maharashtra,Nashik
SOHARSH GULGULIA JAIN,Swaraj Bhartiya Nyay Party,NCT OF Delhi,Chandni Chowk
SURESH KUMAR,Eklavya Samaj Party,Uttar Pradesh,Hamirpur
HINDURAO DADU PATIL,Rashtriya Maratha Party,Maharashtra,Kalyan
MOHD. KALEEM ANSARI,Peoples Party of India (Democratic),Maharashtra,Bhiwandi
SANTILATA ROUT,Supreme Zero Party of Bharat,Odisha,Bhubaneswar
ALOK DOLAI,Independent,West Bengal,Arambagh
SANJAY RAMESHWAR SHARMA,Independent,Maharashtra,Dhule
RAJENDRA PRASAD PRAJAPATI,Bhagidari Party(P),Uttar Pradesh,Allahabad
VASKAR MALIK,Independent,West Bengal,Arambagh
NARESH KUMAR,Rashtriya Samaj Paksha,NCT OF Delhi,North-West Delhi
AWADHESH PRASAD SINGH,Independent,Bihar,Muzaffarpur
SANGAM LAL GUPTA,Bharatiya Janata Party,Uttar Pradesh,Pratapgarh
SINGH RAM,Independent,Haryana,GURGAON
ADV MITESH VARSHNEY,Independent,Maharashtra,Mumbai North West
ASHOK MISHRA,Independent,NCT OF Delhi,North-East Delhi
BABLU GHANTI,Independent,West Bengal,Arambagh
NAZMAKHATHUN MOHAMMED ZAFAR KHAN,Independent,Maharashtra,Mumbai North Central
HARIWANSH PASWAN,Independent,Bihar,Hajipur
LAKSHMI DEVI,Independent,Jharkhand,Dhanbad
RAO INDERJIT SINGH,Bharatiya Janata Party,Haryana,GURGAON
UMESH KUMAR,Bahujan Samaj Party,Haryana,SONIPAT
SANT DHARAMVEER CHOTIVALA,Independent,Haryana,SONIPAT
LAKSHMI DEVI,Independent,Jharkhand,Dhanbad
ARUP CHAKRABORTY,All India Trinamool Congress,West Bengal,Bankura
KRIPA SHANKAR SAROJ,Bahujan Samaj Party,Uttar Pradesh,Machhlishahr
ANJANI PANDEY,Independent,Jharkhand,Ranchi
LAKSHMI DEVI,Independent,Jharkhand,Dhanbad
RAJ KUMAR PASWAN,Yuva Bihar Sena,Bihar,Hajipur
BALJEET SINGH,Bharatheeya Jawan Kisan Party,Haryana,AMBALA
ANJANI PANDEY,Independent,Jharkhand,Ranchi
MANASI SWAIN,Socialist Unity Centre Of India (COMMUNIST),Odisha,Dhenkanal
LAKSHMI DEVI,Independent,Jharkhand,Dhanbad
NAVEEN KUMAR,Hamara Sahi Vikalp Party,NCT OF Delhi,South Delhi
ADVOCATE KAPIL KANTILAL SONI,Independent,Maharashtra,Mumbai North West
SANJAY RAMESHWAR SHARMA,Independent,Maharashtra,Dhule
GAJENDRA PRASAD CHAURSIYA,Janhit Kisan Party,Bihar,Saran
MILIND KASHINATH KAMBLE,Independent,Maharashtra,Bhiwandi
SURAIYA NISSAR,Independent,Jammu and Kashmir,BARAMULLA
BAPI SOREN,All India Secular Front,West Bengal,Jhargram
SURESH CHANDRA PANIGRAHY,Communist Party of India  (Marxist),Odisha,Bhubaneswar
SAROJ KUMAR CHAUDHARY,Independent,Bihar,Muzaffarpur
VIVEK YESHWANT PATIL,Independent,Maharashtra,Mumbai South Central
RAJU SINGH,Independent,Bihar,Muzaffarpur
AJAZ MOHAMMAD SAFI KHAN,Independent,Maharashtra,Mumbai North Central
AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,Maharashtra,Nashik
SANDEEP BHAU RAMCHANDRA JADHAV,Independent,Maharashtra,Mumbai North Central
SK. SAPIYAR ALI,Independent,West Bengal,Uluberia
SANJAY KUMAR MEHTA,Independent,Jharkhand,Hazaribagh
ANINDITA DAS,Independent,Jharkhand,Dhanbad
MOHAN LAL BADOLI,Bharatiya Janata Party,Haryana,SONIPAT
MAHESH BANDO,Bahujan Mukti Party,Jharkhand,Chatra
PRAMOD AZAD,Apna Dal (Kamerawadi),Uttar Pradesh,Banda
SHARMISTHA DAS,Independent,West Bengal,Barrackpur
JAGDISH KUMAR VERMA,Independent,NCT OF Delhi,South Delhi
SANJAY KUMAR MEHTA,Independent,Jharkhand,Hazaribagh
YASHWANT VALU PARDHI,Bhartiya Asmita Party,Maharashtra,Nashik
ARIT KARAK,Independent,West Bengal,Uluberia
ANINDITA DAS,Independent,Jharkhand,Dhanbad
KHAN MOHD AKARAM ABDUL HANAN,All India Majlis-E-Ittehadul Muslimeen,Maharashtra,Bhiwandi
RAJESH KUSHWAHA,Bhartiya Lok Chetna Party,Bihar,Saran
SANJAY KUMAR SNEHI,Lokhit Adhikar Party,Jharkhand,Chatra
NAGMANI,Bahujan Samaj Party,Jharkhand,Chatra
SANJAY RAWAT,Independent,NCT OF Delhi,New Delhi
AMAL KUMAR DEYATI,Bharatiya Nyay-Adhikar Raksha Party,West Bengal,Uluberia
SHATRUDHAN TIWARY,Bhartiya Sarthak Party,Bihar,Saran
JAI PRAKASH BHAI PATEL,Indian National Congress,Jharkhand,Hazaribagh
KARAN BHUSHAN SINGH,Bharatiya Janata Party,Uttar Pradesh,Kaiserganj
DR. ABHISHEK KUMAR SINGH,Independent,Jharkhand,Chatra
DR. RAJESH MEHANDIA,Bahujan Republican  Socialist Party,Haryana,SIRSA
BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,Maharashtra,Nashik
BHAGIRATHI BALIARSINGH,Manas Lokshakti Dal,Odisha,Kandhamal
MITHALESH KUMARI,Independent,Uttar Pradesh,Barabanki
BABLU PRASAD DANGI,Independent,Jharkhand,Jamshedpur
MUMATAZ ABDULSATTAR ANSARI,Bahujan Samaj Party,Maharashtra,Bhiwandi
DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,Jharkhand,Ranchi
RAVINDRA DATTARAM WAIKAR,Shiv Sena,Maharashtra,Mumbai North West
DANISH EZAZ AH. SHAIKH,Bahujan Maha Party,Maharashtra,Bhiwandi
KALI CHARAN SINGH,Bharatiya Janata Party,Jharkhand,Chatra
ARJUN KUMAR,Communist Party of India,Jharkhand,Chatra
UMESH RATHOR,Atulya Bharat Party,NCT OF Delhi,Chandni Chowk
MD. ZAHIRUDDIN KHAN,Independent,Jharkhand,Dhanbad
JAHID MURABTAR ANSARI,Independent,Maharashtra,Bhiwandi
MOHAN SHARMA,Rashtriya Jansambhavna Party,Bihar,Madhubani
AYYUB AMIN HUNGUND,Bahujan Samaj Party,Maharashtra,Mumbai North Central
CHANDRAKANT KESHAVRAO THAKUR,Independent,Maharashtra,Nashik
AMAR KISAN KAVALE,Independent,Maharashtra,Palghar
RAJ KUMAR,Jharkhand Party,Jharkhand,Hazaribagh
SHAFEEQA BEGUM,Independent,Jammu and Kashmir,BARAMULLA
MD. ZAHIRUDDIN KHAN,Jan Sangharsh Virat Party,Jharkhand,Dhanbad
ANAND KUMAR,Bharatheeya Jawan Kisan Party,Haryana,BHIWANI-MAHENDRAGARH
BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,Uttar Pradesh,Jalaun
ARVIND NARAYAN SAWANT,Independent,Maharashtra,Mumbai South
ASHOK KUMAR,Samata Party,Bihar,Hajipur
KRISHNA NAND TRIPATHI,Indian National Congress,Jharkhand,Chatra
ADV UJWAL NIKAM,Bharatiya Janata Party,Maharashtra,Mumbai North Central
SUNIL KUMAR BHATT,Independent,Uttar Pradesh,Faizabad
ANANTA NAYAK,Bharatiya Janata Party,Odisha,Keonjhar
MAHENDRA,Independent,Uttar Pradesh,Mohanlalganj
