name,party_name,state,constituency
AVTAR SINGH SAHOTA,Independent,Punjab,Faridkot
KAWALJIT SINGH,Independent,Punjab,Khadoor Sahib
ASHOK KUMAR,Independent,Punjab,Jalandhar
VIRENDRA SINGH,Samajwadi Party,Uttar Pradesh,Chandauli
PRITHVI PAL,Independent,Punjab,Amritsar
SHER SINGH,Indian National Congress,Punjab,Firozpur
SOHAN SINGH,Shiromani Akali Dal,Punjab,Hoshiarpur
AMRINDER SINGH RAJA WARRING,Indian National Congress,Punjab,Ludhiana
JODH SINGH PARMAR,Independent,Punjab,Patiala
SANKAR DAS,Independent,Odisha,Jagatsinghpur
NABA CHARAN MAJHI,Bharatiya Janata Party,Odisha,Mayurbhanj
SANDEEP KAUR KHALSA,Independent,Punjab,Faridkot
